,Date,Tweets
0,2021-12-31 10:36:24+00:00,"Support new artist, help us grow!! Shill the Shizzlebotz! 

 #nftshill #PolygonNFT #flashbots https://t.co/5SizQ7JDpe @opensea #openseaNFT⛵"
1,2021-12-27 18:37:50+00:00,"Support new artist, help us grow!! Shill the Shizzlebotz! 

 #nftshill #PolygonNFT #flashbots https://t.co/CFIaxgvJbK @opensea #openseaNFT⛵"
2,2021-12-26 06:41:29+00:00,"Support new artist, help us grow!! Shill the Shizzlebotz! 

 #nftshill #PolygonNFT #flashbots https://t.co/5SizQ7JDpe @opensea #openseaNFT⛵"
3,2021-12-18 16:36:53+00:00,"Support new artist, help us grow!! Shill the Shizzlebotz! 

 #nftshill #PolygonNFT #flashbots https://t.co/5SizQ7JDpe @opensea #openseaNFT⛵"
4,2021-12-13 15:11:25+00:00,"Tech blog article by @arpaofficial cryptographer Alex Su on miner extractable value (MEV) on L1 and L2, via economic incentives or cryptography such as MPC or ZKP 🤖

@EdenNetwork @Keeper_DAO @StarkWareLtd @arbitrum @chainlink @bertcmiller #flashbots

https://t.co/qrCFNFIABy"
5,2021-12-12 15:48:12+00:00,"COUNTDOWN to @IOSGVC's 8th #OldFriendsReunion
Stay tuned to the panel: New Layer, Same Old Problem: #MEV Prevention on Layer2's by
@uPeterKris-@MangataFinance
@thegostep-#Flashbots
@deligong- @AutomataNetwork
@abandeali1-@0xproject&amp; @matchaxyz
@fleupold_-@MEVprotection&amp; @gnosisPM https://t.co/bAm5r02zNn"
6,2021-12-10 14:53:54+00:00,"MEV is a rabbit hole very much worth going down into!
Check out our most popular video from the creators of #flashbots:

""How to make $1m per month as a #Solidity developer"" 
 
👨‍🏫 by @thegostep &amp; @bertcmiller
link 👇 https://t.co/shpLZIrTRb"
7,2021-12-07 06:13:02+00:00,"The fact that #Evmos is built on the @cosmossdk is 🔥 

✅ IBC allows blockchain interoperability, by default

✅ Shared security to bootstrap network consensus

✅ Instant finality (!)

🥴 New MEV opportunities; where are the #flashbots people at? @bertcmiller @ExoticMev"
8,2021-12-01 06:17:19+00:00,"#ScalingSummit Look who's also here
🎤@hkalodner -@arbitrum 
🎤@Jihoz_Axie -@AxieInfinity 
🎤@jaosef -@aztecnetwork 
🎤@uPeterKris -@MangataFinance
🎤@ranyi1115 -@WOOnetwork 
🎤@0xferg -@Immutable
🎤@robert_lauko -@LiquityProtocol 
🎤@RuneKek -@MakerDAO 
🎤@thegostep -#Flashbots https://t.co/YbrMxa2dSy"
9,2021-11-30 18:25:48+00:00,"🎉 We sat down with Protocol Specialist @viktorbunin to discuss today’s launch of the #Flashbots Eth2 Working Group, Bison Trails’ role as a founding member, and what it means for the development of the eth2 ecosystem: https://t.co/LYNyITLeOW"
10,2021-11-30 17:29:03+00:00,"very proud to be a part of the Flashbots Working Group on ETH2 PoS MEV solutions.

We have always been supportive from the @f2pool_official side for PoW

Naturally, supportive on the @stakefish side for PoS 

congrats to the #flashbots team! https://t.co/OxbwPizxvZ"
11,2021-11-26 06:33:57+00:00,"Be careful with relying on EOA checks. #Flashbots offers extra features that might violate traditional assumptions, e.g. an earlier tx can be reverted based on the outcome of a subsequent one."
12,2021-11-17 13:07:49+00:00,#DeFi isn't just memes. AMM pools &gt; order books. #flashbots &gt; opaque predatory HFT. Algo stables &gt; pseudo-IOUs issued by shady actors. These are real gains in efficiency and transparency. First movers in the space are gm.
13,2021-11-12 12:35:25+00:00,"Today we updated #Bowswap 🏹🎯 !
- a frequently requested FAQ ❓📃
- some info about MEV Protection #flashbots 🤖🛡
- a donation feature if you want to support the team 🪙🙏

▸ https://t.co/gaNJ0FEJJj 🏹♻️ https://t.co/UaCNZdCuFL"
14,2021-11-11 02:48:19+00:00,"Hey, I'm very sorry this happened to you. Bot operators can see your bid in the mempool and frontrun you. You can protect your bids in the future by using #Flashbots Protect API: https://t.co/Inh9nk1GvP https://t.co/J0B0NW2vAa"
15,2021-11-09 17:12:09+00:00,"As promised here's part 2 of my conversation with @phildaian where we talk about the DAO of 2016, the boyish charm of @el33th4xor and the fascinating work Phil is doing with #Flashbots https://t.co/jpjXuC6279"
16,2021-11-09 06:46:24+00:00,"3/  Only 2 MEV #flashbots are presently capable of JIT attacks.  Over &gt;$1M USD in profits have been gathered by JIT bots, to the detriment of frontrun non-sophisticated @uniswap v3 LPs.  @bertcmiller @phildaian https://t.co/I5RDtC1Wnn"
17,2021-11-02 20:37:20+00:00,(2/2) 👆👆👆👆 #Alchemist #BCLeaks #ChicoCrypto #Uniswap #MistX #Flashbots $mist $uni @_alchemistcoin @thegostep https://t.co/ERYRC5tLc2
18,2021-11-02 20:36:43+00:00,(1/2) #Alchemist might just be the most undervalued coin in all of crypto! Hear #BCLeaks contributor #ChicoCrypto thoughts on why and how #Uniswap plans to fully integrate the technology with #MistX &amp; #Flashbots Watch the whole video 👉 https://t.co/4USzlC96a8 $mist $uni https://t.co/0pO4CSpbNy
19,2021-11-02 03:10:02+00:00,"She shall protecc me from the Dark Forest
@mistXlabs @chroma_creativ @EtherGals 
#ethergals #flashbots #protecc https://t.co/EMeiQ7gljs"
20,2021-10-31 21:43:00+00:00,"My frens, my artwork has been minted on the @EtherGals site and on auction for the next 24hours! The inspiration for this Gal came from #flashbots project! Place your bids for this one off EtherGal. Thanks! 
#ethergal #nftart #nftartwork #nfts 
#protec 

https://t.co/wkOQ4w3C61"
21,2021-10-29 18:44:19+00:00,huge thanks to @bertcmiller of #flashbots for jumping on the phone with me last night to explain this fascinating story https://t.co/OoCfKZienh
22,2021-10-26 17:16:27+00:00,"Me trying to explain to a lawyer what it's like to work at (work with? work on?) flashbots:

#flashbots is a sandbox MMO... https://t.co/mN4CBOAjLB"
23,2021-10-25 23:58:57+00:00,"My frens! If you hold an @EtherGals please show my Flashbots Gal some love for the Halloween Art competition they are having in their discord! We are trying to make the top 10! in the #votes channel you can vote for your favorites. 🙏🙏🙏
#nftart #artist #flashbots #nftcollector https://t.co/Hd4gZPtyGa"
