,Date,Tweets
0,2021-12-31 05:49:28+00:00,"This is what a sandwich attack looks like. They're common on low cap pairs, and it's when bots scan for buy orders then front run buy/sell orders on either side, causing a trader's buy order to execute at a much higher price than intended, and pocketing the difference. #mev $year https://t.co/oPlmd7s9mw"
1,2021-12-28 17:14:22+00:00,"¿Sabías que en el mundo de las #DeFi existen estrategias controversiales que sacan provecho de una manera poco sana para el mercado llamadas #MEV?

Entérate como #Assembly puede poner fin a esta manipulación en las DeFi. 
📝🧐
https://t.co/yQWAD7SRqv"
2,2021-12-27 11:00:25+00:00,[#IOTAQuicktakes] Let’s wrap up this year with a recap of our latest news: ⏳ 1 day left to pre-stake your #IOTA tokens! 🔑 @assembly_net has a solution to #MEV 🇪🇺 #IOTA selected for phase 2A of #EBSI Stay tuned for more news in 2022! 👉 … https://t.co/IkyN3EaiQf
3,2021-12-27 10:00:34+00:00,"[#IOTAQuicktakes] Let’s wrap up this year with a recap of our latest news: 
⏳ 1 day left to pre-stake your #IOTA tokens! 
🔑 @assembly_net has a solution to #MEV
 🇪🇺 #IOTA selected for phase 2A of #EBSI
Stay tuned for more news in 2022!

👉 https://t.co/S80SBfeaTn https://t.co/RMSF6N5E16"
4,2021-12-27 02:32:05+00:00,"What is Miner extractable value (#MEV) and how people (or Flashbots) are exploiting it to avoid liquidations, arbitraging in #DEXes, outrunning #ethereum transcations for profits (2-3k Eth per day last winters) ? 🧵"
5,2021-12-27 00:08:09+00:00,"Lastly, #IOTA solves #MEV, or miner extractable value, which is currently crippling #DeFi. MEV is a measure of the profit a miner can make through their ability to arbitrarily include, exclude, or re-order transactions within the blocks they produce.

https://t.co/G3KBHwUGt5"
6,2021-12-26 11:02:14+00:00,"""Aleph Zero plans to tackle the Maximal Extractable Value (#MEV) problem via our 🔏 Liminal #MPC framework and submarine sends.""

📚Read the interview with @GagolAdam at @newsbtc: https://t.co/TVIS8auKyg

$AZERO"
7,2021-12-25 05:07:10+00:00,"#MEV crooks will defend this
Inb4 it's just survival of the fittest
Miss me with that shit. This goes against the ethos of the crypto space and if you think otherwise, fight me.
$SOS https://t.co/qjdlxMh0CH"
8,2021-12-22 22:49:54+00:00,"Weekly #AirSwap Summary 🔷

⚡️ $25M in volume from 1.4K Swaps 
🚀 $936M to date
🎁 $17.5K fees collected, $16.4K rewards distributed
🔥 Largest Swap: $1.1M WETH/DAI
🗳 22.7% WETH/Stable swaps in @Metamask

#BUIDL #MEV protection with our #DAO today👇
https://t.co/66b6QyX8Yk https://t.co/eAyChucOpx"
9,2021-12-21 11:48:03+00:00,"Get up to speed on Maximum Extractable Value with an awesome collection of #MEV resources! 

https://t.co/UvqF0UH6N1 https://t.co/J7bNX5zBJH"
10,2021-12-20 23:37:06+00:00,The way #Assembly @assembly_net eliminates #MEV will be a huge incentive to move Defi and NFT projects over. It is such an elegant way of bringing fairness to #DeFi #ETH #BSC #Solana https://t.co/vfLZFQZXkj
11,2021-12-20 15:58:57+00:00,"#MEV has become a real problem over time, especially over the past months. Learn how @assembly_net prevents this #DeFi market manipulation by design https://t.co/QPq9JteCBz"
12,2021-12-20 15:34:16+00:00,"Der neue #Assembly Artikel über #MEV und #defi auf deutsch: 

https://t.co/2q4oqyY2Y6

#iota #shimmer #dlt #crypto #krypto"
13,2021-12-20 14:00:24+00:00,"#MEV cripples #DeFi: blockchain miners insert their transactions into a block and front-run the market.

#Assembly makes MEV impossible. It unshackles opportunities by running consensus on a batch of #transactions, not on the final block. https://t.co/UOLWsFcbta"
14,2021-12-20 10:56:16+00:00,"We just published the second part of our #MEV explainer series. Great way to explain to your non-MEV friends and family over the holidays what the hell you're doing:

First part: 
https://t.co/QfL7Vfpb57

Second part:
https://t.co/3KRtqPXU2v https://t.co/JpozIiJCX4"
15,2021-12-18 20:00:07+00:00,"The Great feeling is you 🌻 

#WeLoveMehwishTI
#MehwishHayatTI 
#NYwithMehwish 
💜 @MehwishHayat                         💜
💜 #MH #Mev #MehwishHayat   💜 
💜 #MehwishHSource                    💜 https://t.co/TPdxPoA1tD"
16,2021-12-18 09:56:39+00:00,"Bots and front-running is a well known problem on any public #blockchain. Right now, we see how serious it is as it had a major impact on the first token launch. #MEV is a serious problem on Ethereum, where front-running is already a business model."
17,2021-12-17 16:59:23+00:00,"Get up to speed on 😎Maximum Extractable Value with @0xalpharush and his awesome collection of #MEV resources! Good cheatsheet. 

https://t.co/VMu42dC6iv"
18,2021-12-17 13:16:54+00:00,Real life actual footage of a #cowswap solver defeating #MEV https://t.co/ERCP3PwXIn https://t.co/0ZQBiL8gbf
19,2021-12-16 09:13:43+00:00,"Els participants del Voluntariat per la llengua d'Osona van poder gaudir d'un fantàstic i detallat recorregut pel romànic català gràcies a la visita guiada que ens va oferir el @mevmuseu de Vic
Moltes gràcies a l'Aina per endinsar-nos en les obres d'art del Museu.
#cnlosona #MEV https://t.co/HGNhSNSbQ9"
20,2021-12-15 23:16:07+00:00,"The @EvmosOrg #Rektdrop is the 1st implementation of a #gasdrop on #ethereum that also rewards:
- @RektHQ users
- #MEV victims
- @cosmoshub delegators 
- @osmosiszone delegators &amp; LPs
- @cosmos ecosystem early contributors and core teams (@cosmossdk, @Tendermint_Core, @cosmosibc) https://t.co/edhnDzcn3R"
21,2021-12-15 08:32:35+00:00,"MEV Gökkuşağı Okulumuzun okul aile birliği ve ailelerimizle kahvaltıda buluşarak, çocuklarımız için birlikte neler yapabileceğimizle ilgili görüşmeler gerçekleştirdik.

#MEV
#MEVGökkuşağı
#SERÇEV
#serebralpalsi 
#serebralpalsilihayat 
#serçev 
#serebralpalsilicocuklar https://t.co/re6VxUW7M2"
22,2021-12-14 15:41:43+00:00,"Youre going to need a Cross Chain Interoperability Protocol Decentralized Oracle Network w/supervisory nodes to monitor for chain-splits &amp; cross-domain #MEV for your billion dollar cross-chain mutlinational transactions anon

#Endgame

Chainlink $LINK #CCIP @wef @swiftcommunity https://t.co/F7nQV9Vuqa https://t.co/fNBQdDSpbu"
23,2021-12-14 12:32:50+00:00,"OpenMEV aka Sushi Relay is LIVE! @SushiSwap

With this integration, high gas fees will be a thing of the past. Stay tuned for more...

$FOLD X $SUSHI 🤝

Welcome to Manifold Finance!

#Manifold #SushiSwap #Ethereum #MEV $ETH https://t.co/kLHIGYl0jV"
24,2021-12-13 14:14:09+00:00,"Build on @Meter_IO $MTRG for #MEV immunity.

$VOLT #Voltswap the first multi-chain MEV immune #DEX. https://t.co/FcbvjbMiHg"
25,2021-12-13 11:32:27+00:00,"Unity is Strength: A Formalization of Cross-Domain Maximal Extractable Value - Good Read!🔖

👉https://t.co/EtPjICOhpH is a logical extension of https://t.co/B7vHXEwOCt 

In this amazing research, authors addressed the topic of  #MEV manifestation😎 https://t.co/LXIBRMhOJi"
26,2021-12-12 20:17:07+00:00,"She slayed my heart 
This gorgeous beauty 💘 
I am so dead 😭 
She is so freaking beautifullllllll 
MashahALLAH ❤️ 😍🥰😘
 @MehwishHayat #MehwishHayat 
#MH #Mev https://t.co/3dSlpd4laW"
27,2021-12-12 15:48:12+00:00,"COUNTDOWN to @IOSGVC's 8th #OldFriendsReunion
Stay tuned to the panel: New Layer, Same Old Problem: #MEV Prevention on Layer2's by
@uPeterKris-@MangataFinance
@thegostep-#Flashbots
@deligong- @AutomataNetwork
@abandeali1-@0xproject&amp; @matchaxyz
@fleupold_-@MEVprotection&amp; @gnosisPM https://t.co/bAm5r02zNn"
28,2021-12-10 00:52:18+00:00,"🚀NEW EPISODE🚀
#NFTs, layer 1 wars,  #MEV, #Dogecoin, and El Salvador: Just some of 2021's hottest topics that made it to the discussion list for our yearly host round-up. Hear what @crainbf @tw_tter @seb2point0 @sunnya97 have to say on these and more
https://t.co/c8WR67HCXd"
29,2021-12-09 18:51:27+00:00,"Set out a goal and achieved it with the help of some amazing friends along the way 🤓 

Along with a dissertation graded 94% on #MEV and algo trading and that sweet searcher alfa - successful final year! https://t.co/JhNcKjXQMM"
30,2021-12-09 13:50:21+00:00,"The Next Generation of Blockchainless DEX:

✅ A fully distributed P2P network that cannot be disrupted or shut down
✅ Infinite scalability
✅ No #MEV
✅ Ultrahigh asset security

https://t.co/skZ6HwCfFx"
31,2021-12-07 19:36:35+00:00,"Estoy enojado con

#LosTraidores

#NoTienenPerdon
#HRL
#MEV
#MS
#YOtros https://t.co/28ymQRAMse"
32,2021-12-06 21:19:18+00:00,"1/

Si fuera editora de un diario virtual sensacionalista que arma titulares de acuerdo al SEO, presentaría este artículo así:

#MEV: EL MILLONARIO NEGOCIO QUE NO TE CUENTAN EN LA BLOCKCHAIN DE #SOLANA

Fuera de joda, excelente artículo de @utonianum, recomiendo MUCHO su lectura. https://t.co/yQHjP6U47w"
33,2021-12-06 18:21:07+00:00,"Girls like you love fun and, yeah, me too
What I want when I come through
I need a girl like you, yeah yeah 🥰 
❤️ @mehwishhayatofficial ❤️
❤️ #MH #Mev #MehwishHayat ❤️
❤️ #MehwishHSource ❤️ https://t.co/Q4v9xDddhM"
34,2021-12-06 03:32:14+00:00,Well done!  Some points that resonated: (i) multi-chain MEV likely attracts tradfi players; (ii) large sequencers incentivized to amass votes across networks w/ favorable #MEV economics; (iii) premium on latency could detract from security  @phildaian @ObadiaAlex https://t.co/y2nHsB6Qfw
35,2021-12-03 16:59:27+00:00,"@dec_ventures @SCBuergel @xdaichain @0xPolygon @BinanceChain 3/5 📣 … HOPR could also be used to broadcast for example @Solana or @Avalanche transactions, where the chain would benefit from more #privacy to combat #MEV. https://t.co/SzfWBc22Hl"
36,2021-12-03 02:42:52+00:00,"Anyone want to become an #everPaySwap LP 💰? 
Next week I'll explain the architecture of DEX.

🚀 NO #MEV!
🚀 Unlimited Scalability!
🚀 A Decentralized Exchange Network that anyone can join! https://t.co/6qphfazss4"
37,2021-12-02 13:03:12+00:00,".@Vijlbrief Voor #AOW- ers met 18.000 pensioen is er 3,5% resp 2,75 #koopkrachtdaling door 5% inflatie in 2021 en 4% inflatie in 2022. @DennisWiersma zegt nu dat GEMIDDELDE inflatie in 2021 2,5% is. Maar gemiddelde gaat hard stijgen door veel hogere inflatie in 2022 tov 1,8% #MEV https://t.co/LOq0q4ht9x"
38,2021-12-02 10:50:21+00:00,"Like Mother Like Daughter 😻
I was scrolling to Queenie's Instagram and look what I have found in her Collection 

#WeLoveMehwishTI
#MehwishHayatTI
#NYwithMehwish 
💜 @MehwishHayat                         💜
💜 #MH #Mev #MehwishHayat   💜 
💜 #MehwishHSource                    💜 https://t.co/KbeEopDfpu"
39,2021-12-02 09:29:03+00:00,"Hello Gorgeous 

#WeLoveMehwishTI
#MehwishHayatTI
#NYwithMehwish
💜💜💜💜💜💜💜💜💜💜💜💜💜
💜 @MehwishHayat                         💜
💜 #MH #Mev #MehwishHayat   💜 
💜 #MehwishHSource                    💜  
💜💜💜💜💜💜💜💜💜💜💜💜💜 https://t.co/XqHcoqrnKy"
40,2021-11-30 10:22:32+00:00,".⁦@FNV⁩ @50PLUS eist extra #AOWverhoging en Indexatie. Er is in 2021 3,5% #koopkrachtdaling. Dat blijkt uit het antwoord op onze vraag over koopkracht bij 5% inflatie en 0% indexatie in 2021. #MEV ging nog uit van 1,9%! Tijd voor extra maatregelen. #pensioenakkoord. https://t.co/zI5x54o9rw"
41,2021-11-29 04:05:18+00:00,"yapyapyapyapyapaypaypaypay pay pay pay pay

#MeV"
42,2021-11-27 15:29:03+00:00,"In 2021, even robots have a job board. 🤔 #Ethereum #DeFi #MEV https://t.co/GLg1KesOT6"
43,2021-11-26 10:50:43+00:00,"16 $ETH for a single transaction! #MEV bribes in Ethereum are really absurd. Soon no miner would even care about flimsy “block rewards” and “fees”:)  
https://t.co/ZiETja7UdP https://t.co/2E1Z0ElD3R"
44,2021-11-23 19:53:49+00:00,"@Meter_IO #VoltSwap is the world's first #Layer2 swap that is #frontrunning &amp; #MEV resistant! 💎💎💎💯

#BULLISH open your EYES 👀 🔥

$mtrg $emtrg $Kucoin $defi #cryptocurrency #layer2 $volt #voltswap #meterverse"
45,2021-11-23 19:50:14+00:00,"⚡️Built on #Meter, #VoltSwap is the world's first #Layer2 swap that is #frontrunning &amp; #MEV resistant!

🤖With Meter's unique infrastructure support, no bots can take advantage of your big orders.
https://t.co/kHfnkTZpOm

Farm in https://t.co/oy9oVvUBmg to earn $VOLT!
$MTRG #DeFi"
46,2021-11-23 19:11:20+00:00,"@convexdegen When your protocol design ensures liquidity pools can’t be gamed by transaction ordering, as @VerusCommunity’s does, you eliminate basic #MEV. The frantic effort to convince people it can’t be solved is from those who caused or benefit from the problem. Don’t believe them. DYOR."
47,2021-11-22 12:00:41+00:00,"For those who haven't understood what #MEV is, we have an explainer series. First part here: https://t.co/QfL7Vfpb57"
48,2021-11-22 07:26:40+00:00,Bizi dikkate almazsanız kulaklarınızı tıkarsanız biz de vazgeçmeden sonuna kadar mücadelemizi veririz pes etmek yok! Hakkımızı alacağız er ya da geç. #MahmutOEzeristifa #fahrettinkocaistifa #MebYoekOnlineEğitimHakkımız #mev #VelilerEndişeliOnlineGelmeli
49,2021-11-20 23:32:11+00:00,"Standing on the shoulders of giants! @substrate_io, the framework behind @Polkadot allows us to build a blockchain that prevents #MEV and front-running.

Our Lead Rust Developer, Mateusz Nowakowski, was recently invited to #Sub0 to explain how we did it:

https://t.co/XlHyLieR1B"
50,2021-11-20 15:21:26+00:00,@foldfinance @SushiSwap $fold vs $eden vs $mist #MEV https://t.co/owbXc5gZ8I
51,2021-11-20 03:54:27+00:00,"@zhusu The everpay protocol developed by @FinanceEver builds dex without #MEV , and provides a fully distributed and scalable exchange network.  We had a preliminary online meeting with @DeFianceCapital last week. If you are interested, we can talk about how to create dex based on SCP"
52,2021-11-20 02:10:06+00:00,It’s #MEV in #crypto if a competing VC invests in a major L1 ahead of you and their investment does well.
53,2021-11-19 22:19:32+00:00,✊🤝🙏We Are All #MEV 🙏🤝✊
54,2021-11-19 17:57:13+00:00,Check out this great explanation of front-running and why #MEV is something to watch out for when #DeFi #trading! #GoTelos #TelosEVM https://t.co/RPL1hi2qwJ
55,2021-11-17 22:41:46+00:00,#Sushiswap proposal https://t.co/LVIV7ygKPv #Ethereum #Eth #CryptoNews #MEV
56,2021-11-17 17:22:29+00:00,"@0xtuba Prediction: growing JIT bot #MEV attacks on Uniswap V3 LPs will eventually force Uniswap governance to start dishing out $UNI to LPs as compensation for lost revenue. The future for passive LPs on Uniswap V3 is not bright!
https://t.co/1BEE6SrlLZ"
57,2021-11-17 15:55:03+00:00,"We're at #LondonBuildExpo until 5.30pm today and back for more tomorrow from 9.30am. Drop by stand E43 to learn about our mechanical ventilation products and our range of ducting and accessories.
#Ventilation #FireSafeAirBrick #MEV #MVHR #HVAC #MetalAirBrick #VentilationExperts https://t.co/kqKNjQWuCR"
58,2021-11-17 04:16:14+00:00,10/  That's enough #MEV alpha for today.  How does the story end?  We'll follow up with the ending to this next time.😎 @phildaian @bertcmiller
59,2021-11-15 22:25:23+00:00,"⚡️Weekly @osmosiszone infographic! $OSMO

Read article by @Timccopeland is working on a way to prevent #frontrunning and the extraction of #MEV👇
https://t.co/dM97OXAxbA

More info $LUNA Incentives for #Osmosis Liquidity Pools Proposal №132👇
https://t.co/s5kj7zTQyK https://t.co/etjjsmfgyf"
60,2021-11-15 00:54:35+00:00,#MEV el Líder es #Macri
61,2021-11-13 18:56:47+00:00,"$SYS ecosystem is booming lately and it's no wonder why devs choose to code there🛠️
@syscoin's the #scaling solution for both, #BTC &amp; #Eth
L1 w/ #MEV resistance &amp; modular design allows to build fair and scalable #DeFi 

My bag 💰 ready for Volume &amp; Price to follow 🚀 https://t.co/WvHpFPOR2t"
62,2021-11-13 08:51:06+00:00,"Don't let anyone tell you some ""eth killer"" is better at #MEV than Ethereum, many just haven't reached a stage yet at which this becomes relevant.
The wealth of research and projects working on MEV/front running solutions on top of Ethereum speaks for itself, e.g. https://t.co/4BCctabvm3"
63,2021-11-11 17:12:38+00:00,"BGP or rather BCP 😋 is live, protecting all @BalancerLabs traders against #MEV. 

Balancer is the first protocol to have integrated CowSwap! 😍👏
👉 trade on CowSwap via Balancer: https://t.co/97d0cOv5VO https://t.co/07O6iprA6A"
64,2021-11-11 14:20:12+00:00,"The Balancer-Gnosis-Protocol protects against Miner Extractable Value 💪

What exactly is #MEV, and how does it affects trades? Find out ⤵️
https://t.co/EWA9kHwInv https://t.co/CwliG3eaFj"
65,2021-11-11 07:44:39+00:00,"@avaxoshi mfw 
@JunkoSu22993224 @ethereum @VitalikButerin @haydenzadams @SergeyNazarov #MEV #ETH2 #Layer2 #routing #gas https://t.co/p3gGQpi6ZG"
66,2021-11-09 19:23:16+00:00,"بعد چند وقت دوباره MEV attack کردن uniswap رو!
.
#MEV
#UniSwap🦄 https://t.co/sTt3NHo7M6"
