,bigram,count
0,"('extractable', 'value')",22
1,"('#mev', '#flashbots')",16
2,"('macri', 'macri')",15
3,"('miner', 'extractable')",13
4,"('front', 'running')",13
5,"('#consentidxs', '#mev')",13
6,"('#defi', '#mev')",12
7,"('#cpb', '#mev')",11
8,"('💜', '💜')",10
9,"('#mev', 'solution')",9
10,"('smart', 'contract')",9
11,"('#flashbots', '#mev')",9
12,"('#mev', '#ethereum')",8
13,"('#prinsjesdag', '#mev')",8
14,"('#macri', '#macri')",8
15,"('stay', 'tuned')",7
16,"('#mh', '#mev')",7
17,"('#mev', '#mehwishhayat')",7
18,"('extractable', 'value)')",7
19,"('#mev', '#defi')",7
20,"('sobre', '#mev')",7
21,"('look', 'like')",6
22,"('solution', '#mev')",6
23,"('del', '#mev')",6
24,"('#crypto', '#defi')",6
25,"('level', '#domainname')",6
26,"('sandwich', 'attack')",5
27,"('💜', '@mehwishhayat')",5
28,"('@mehwishhayat', '💜')",5
29,"('💜', '#mh')",5
30,"('#mehwishhayat', '💜')",5
31,"('💜', '#mehwishhsource')",5
32,"('#mev', '$eth')",5
33,"('#frontrunning', '#mev')",5
34,"('#mev', '#crypto')",5
35,"('$mist', '⚗️')",5
36,"('join', 'u')",5
37,"('fair', 'sequencing')",5
38,"('sequencing', 'service')",5
39,"('#mev', 'front')",5
40,"('$7600', 'phenomenal')",5
41,"('phenomenal', 'top')",5
42,"('top', 'level')",5
43,"('#domainname', 'sale')",5
44,"('sale', '#mev')",5
45,"('#mev', '#machinelearning')",5
46,"('#machinelearning', '#datascience')",5
47,"('#datascience', '#python')",5
48,"('#python', '#ai')",5
49,"('#ai', '#100daysofcode')",5
